Level,Subject,Year,Placed_File,Original_Source_Path
IGCSE,Accounts,2021,Accounting_0452_2020-2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/Accounting_0452_2020-2022.pdf
IGCSE,Accounts,2022,Accounting_0452_2020-2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/Accounting_0452_2020-2022.pdf
IGCSE,Accounts,2023,0452_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Accounting/0452_2023-2025_syllabus.pdf
IGCSE,Accounts,2024,0452_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Accounting/0452_2023-2025_syllabus.pdf
IGCSE,Accounts,2025,0452_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Accounting/0452_2023-2025_syllabus.pdf
IGCSE,Accounts,2026,Accounting_0452_2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/Accounting_0452_2026.pdf
IGCSE,Biology,2021,0610_2020-2021_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Biology/0610_2020-2021_syllabus.pdf
IGCSE,Biology,2022,Biology_0610_2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/Biology_0610_2022.pdf
IGCSE,Biology,2023,0610_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Biology/0610_2023-2025_syllabus.pdf
IGCSE,Biology,2024,0610_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Biology/0610_2023-2025_syllabus.pdf
IGCSE,Biology,2025,0610_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Biology/0610_2023-2025_syllabus.pdf
IGCSE,Biology,2026,0610_2026-2028_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Biology/0610_2026-2028_syllabus.pdf
IGCSE,Bus_St,2021,0450_2020-2022_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Business Studies/0450_2020-2022_syllabus.pdf
IGCSE,Bus_St,2022,0450_2020-2022_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Business Studies/0450_2020-2022_syllabus.pdf
IGCSE,Bus_St,2023,0450_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Business Studies/0450_2023-2025_syllabus.pdf
IGCSE,Bus_St,2024,0450_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Business Studies/0450_2023-2025_syllabus.pdf
IGCSE,Bus_St,2025,0450_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Business Studies/0450_2023-2025_syllabus.pdf
IGCSE,Bus_St,2026,0450_2026_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Business Studies/0450_2026_syllabus.pdf
IGCSE,Chemistry,2021,0620_2020-2021_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Chemistry/0620_2020-2021_syllabus.pdf
IGCSE,Chemistry,2022,Chemistry_0620_2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/Chemistry_0620_2022.pdf
IGCSE,Chemistry,2023,0620_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Chemistry/0620_2023-2025_syllabus.pdf
IGCSE,Chemistry,2024,0620_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Chemistry/0620_2023-2025_syllabus.pdf
IGCSE,Chemistry,2025,0620_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Chemistry/0620_2023-2025_syllabus.pdf
IGCSE,Chemistry,2026,0620_2026-2028_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Chemistry/0620_2026-2028_syllabus.pdf
IGCSE,Comp_Sci,2021,Computer_Science_0478_2020-2021.pdf,/mnt/data/cambridge_full_sources/IGCSE/Computer_Science_0478_2020-2021.pdf
IGCSE,Comp_Sci,2022,Computer_Science_0478_2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/Computer_Science_0478_2022.pdf
IGCSE,Comp_Sci,2023,0478_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Computer Science/0478_2023-2025_syllabus.pdf
IGCSE,Comp_Sci,2024,0478_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Computer Science/0478_2023-2025_syllabus.pdf
IGCSE,Comp_Sci,2025,0478_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Computer Science/0478_2023-2025_syllabus.pdf
IGCSE,Comp_Sci,2026,0478_2026-2028_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Computer Science/0478_2026-2028_syllabus.pdf
IGCSE,D_and_T,2021,Design_and_Technology_0445_2020-2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/Design_and_Technology_0445_2020-2022.pdf
IGCSE,D_and_T,2022,Design_and_Technology_0445_2020-2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/Design_and_Technology_0445_2020-2022.pdf
IGCSE,D_and_T,2023,Design_and_Technology_0445_2023.pdf,/mnt/data/cambridge_full_sources/IGCSE/Design_and_Technology_0445_2023.pdf
IGCSE,D_and_T,2024,Design_and_Technology_0445_2024-2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/Design_and_Technology_0445_2024-2026.pdf
IGCSE,D_and_T,2025,Design_and_Technology_0445_2024-2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/Design_and_Technology_0445_2024-2026.pdf
IGCSE,D_and_T,2026,Design_and_Technology_0445_2024-2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/Design_and_Technology_0445_2024-2026.pdf
IGCSE,Ecos,2021,Economics_0455_2020-2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/Economics_0455_2020-2022.pdf
IGCSE,Ecos,2022,Economics_0455_2020-2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/Economics_0455_2020-2022.pdf
IGCSE,Ecos,2023,Economics_0455_2023-2025.pdf,/mnt/data/cambridge_full_sources/IGCSE/Economics_0455_2023-2025.pdf
IGCSE,Ecos,2024,Economics_0455_2023-2025.pdf,/mnt/data/cambridge_full_sources/IGCSE/Economics_0455_2023-2025.pdf
IGCSE,Ecos,2025,Economics_0455_2023-2025.pdf,/mnt/data/cambridge_full_sources/IGCSE/Economics_0455_2023-2025.pdf
IGCSE,Ecos,2026,Economics_0455_2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/Economics_0455_2026.pdf
IGCSE,French,2021,French_0520_2021.pdf,/mnt/data/cambridge_full_sources/IGCSE/French_0520_2021.pdf
IGCSE,French,2022,French_0520_2021.pdf,/mnt/data/cambridge_full_sources/IGCSE/French_0520_2021.pdf
IGCSE,French,2023,French_0520_2021.pdf,/mnt/data/cambridge_full_sources/IGCSE/French_0520_2021.pdf
IGCSE,French,2024,French_0520_2021.pdf,/mnt/data/cambridge_full_sources/IGCSE/French_0520_2021.pdf
IGCSE,French,2025,French_0520_2025-2027.pdf,/mnt/data/cambridge_full_sources/IGCSE/French_0520_2025-2027.pdf
IGCSE,French,2026,French_0520_2025-2027.pdf,/mnt/data/cambridge_full_sources/IGCSE/French_0520_2025-2027.pdf
IGCSE,Geo,2021,Geography_0460_2020-2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/Geography_0460_2020-2022.pdf
IGCSE,Geo,2022,Geography_0460_2020-2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/Geography_0460_2020-2022.pdf
IGCSE,Geo,2023,Geography_0460_2023.pdf,/mnt/data/cambridge_full_sources/IGCSE/Geography_0460_2023.pdf
IGCSE,Geo,2024,Geography_0460_2023.pdf,/mnt/data/cambridge_full_sources/IGCSE/Geography_0460_2023.pdf
IGCSE,Geo,2024,Geography_0460_2025-2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/Geography_0460_2025-2026.pdf
IGCSE,Geo,2025,Geography_0460_2025-2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/Geography_0460_2025-2026.pdf
IGCSE,Geo,2026,Geography_0460_2025-2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/Geography_0460_2025-2026.pdf
IGCSE,History,2021,History_0470_2020-2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/History_0470_2020-2022.pdf
IGCSE,History,2022,History_0470_2020-2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/History_0470_2020-2022.pdf
IGCSE,History,2023,History_0470_2023.pdf,/mnt/data/cambridge_full_sources/IGCSE/History_0470_2023.pdf
IGCSE,History,2024,History_0470_2024-2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/History_0470_2024-2026.pdf
IGCSE,History,2025,History_0470_2024-2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/History_0470_2024-2026.pdf
IGCSE,History,2026,History_0470_2024-2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/History_0470_2024-2026.pdf
IGCSE,Eng_Lang,2021,English_Language_0500_2020-2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/English_Language_0500_2020-2022.pdf
IGCSE,Eng_Lang,2022,English_Language_0500_2020-2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/English_Language_0500_2020-2022.pdf
IGCSE,Eng_Lang,2023,0500_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/English Language/0500_2023-2025_syllabus.pdf
IGCSE,Eng_Lang,2024,English_Language_0500_2024-2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/English_Language_0500_2024-2026.pdf
IGCSE,Eng_Lang,2025,English_Language_0500_2024-2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/English_Language_0500_2024-2026.pdf
IGCSE,Eng_Lang,2026,English_Language_0500_2024-2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/English_Language_0500_2024-2026.pdf
IGCSE,Literature,2021,Literature_0475_2020-2021.pdf,/mnt/data/cambridge_full_sources/IGCSE/Literature_0475_2020-2021.pdf
IGCSE,Literature,2022,Literature_0475_2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/Literature_0475_2022.pdf
IGCSE,Literature,2023,0475_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Literature/0475_2023-2025_syllabus.pdf
IGCSE,Literature,2024,0475_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Literature/0475_2023-2025_syllabus.pdf
IGCSE,Literature,2025,0475_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/IGCSE/Literature/0475_2023-2025_syllabus.pdf
IGCSE,Literature,2026,Literature_0475_2026.pdf,/mnt/data/cambridge_full_sources/IGCSE/Literature_0475_2026.pdf
IGCSE,Pure_Maths,2021,Additional_Mathematics_0606_2020-2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/Additional_Mathematics_0606_2020-2022.pdf
IGCSE,Pure_Maths,2022,Additional_Mathematics_0606_2020-2022.pdf,/mnt/data/cambridge_full_sources/IGCSE/Additional_Mathematics_0606_2020-2022.pdf
